label,message,message_length,label_encoded,message_clean
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,0,"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,1,sms. ac sptv: the new jersey devils and the detroit red wings play ice hockey. correct or incorrect? end? reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,0,do you know what mallika sherawat did yesterday? find out now @  &lt;url&gt;
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,1,"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out! "
ham,"Sorry, I'll call later in meeting.",34,0,"sorry, i'll call later in meeting."
ham,Tell where you reached,22,0,tell where you reached
ham,Yes..gauti and sehwag out of odi series.,40,0,yes..gauti and sehwag out of odi series.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,0,your gonna have to pick up a $1 burger for yourself on your way home. i can't even move. pain is killing me.
ham,Ha ha ha good joke. Girls are situation seekers.,48,0,ha ha ha good joke. girls are situation seekers.
ham,Its a part of checking IQ,25,0,its a part of checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",56,0,"sorry my roommates took forever, it ok if i come by now?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,0,ok lar i double check wif da hair dresser already he said wun cut v short. he said will cut until i look nice.
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,1,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a £1500 bonus prize, call 09066364589"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,0,"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,1,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,1,"did you hear about the new ""divorce barbie""? it comes with all of ken's stuff!"
ham,I plane to give on this month end.,34,0,i plane to give on this month end.
ham,Wah lucky man... Then can save money... Hee...,46,0,wah lucky man... then can save money... hee...
ham,Finished class where are you.,29,0,finished class where are you.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,0,hi babe im at home now wanna do something? xx
ham,K..k:)where are you?how did you performed?,42,0,k..k:)where are you?how did you performed?
ham,U can call me now...,20,0,u can call me now...
ham,I am waiting machan. Call me once you free.,43,0,i am waiting machan. call me once you free.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,0,thats cool. i am a gentleman and will treat you with dignity and respect.
ham,I like you peoples very much:) but am very shy pa.,50,0,i like you peoples very much:) but am very shy pa.
ham,Does not operate after  &lt;#&gt;  or what,42,0,does not operate after  &lt;#&gt;  or what
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,0,its not the same here. still looking for a job. how much do ta's earn there.
ham,"Sorry, I'll call later",22,0,"sorry, i'll call later"
ham,K. Did you call me just now ah? ,32,0,k. did you call me just now ah? 
ham,Ok i am on the way to home hi hi,32,0,ok i am on the way to home hi hi
ham,You will be in the place of that man,36,0,you will be in the place of that man
ham,Yup next stop.,14,0,yup next stop.
ham,"I call you later, don't have network. If urgnt, sms me.",55,0,"i call you later, don't have network. if urgnt, sms me."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,0,for real when u getting on yo? i only need 2 more tickets and one more jacket and i'm done. i already used all my multis.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,0,yes i started to send requests to make it but pain came back so i'm back in bed. double coins at the factory too. i gotta cash in all my nitros.
ham,I'm really not up to it still tonight babe,42,0,i'm really not up to it still tonight babe
ham,"Ela kano.,il download, come wen ur free..",41,0,"ela kano.,il download, come wen ur free.."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,58,0,yeah do! don‘t stand to close tho- you‘ll catch something!
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,0,sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry. 
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,0,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,1,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,0,havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,1,"your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16"
ham,Watching telugu movie..wat abt u?,33,0,watching telugu movie..wat abt u?
ham,i see. When we finish we have loads of loans to pay,51,0,i see. when we finish we have loads of loans to pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",178,0,"hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?"""
ham,I see a cup of coffee animation,31,0,i see a cup of coffee animation
ham,Please don't text me anymore. I have nothing else to say.,57,0,please don't text me anymore. i have nothing else to say.
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,0,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,0,i'm still looking for a car to buy. and have not gone 4the driving test yet.
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,0,"wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston."
ham,Umma my life and vava umma love you lot dear,44,0,umma my life and vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,0,thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.
ham,"Aight, I'll hit you up when I get some cash",43,0,"aight, i'll hit you up when i get some cash"
ham,How would my ip address test that considering my computer isn't a minecraft server,82,0,how would my ip address test that considering my computer isn't a minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,0,i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...
ham,Dont worry. I guess he's busy.,30,0,dont worry. i guess he's busy.
ham,What is the plural of the noun research?,40,0,what is the plural of the noun research?
ham,Going for dinner.msg you after.,31,0,going for dinner.msg you after.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,0,i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,1,gent! we are trying to contact you. last weekends draw shows that you won a £1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,0,"wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,0,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there."
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,152,1,you are a winner u have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,0,goodo! yes we must speak friday - egg-potato ratio for tortilla needed! 
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,0,hmm...my uncle just informed me that he's paying the school directly. so pls buy food.
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,1,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,1,"urgent! your mobile no. was awarded £2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm"
ham,here is my new address -apples&pairs&all that malarky,53,0,here is my new address -apples&pairs&all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,1,todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,I am going to sao mu today. Will be done only at 12 ,52,0,i am going to sao mu today. will be done only at 12 
ham,Ü predict wat time ü'll finish buying?,38,0,ü predict wat time ü'll finish buying?
ham,"Good stuff, will do.",20,0,"good stuff, will do."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,0,"just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,Are you there in room.,22,0,are you there in room.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,0,hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx
ham,K..k:)how much does it cost?,28,0,k..k:)how much does it cost?
ham,I'm home.,9,0,i'm home.
ham,"Dear, will call Tmorrow.pls accomodate.",39,0,"dear, will call tmorrow.pls accomodate."
ham,First answer my question.,25,0,first answer my question.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,125,1,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,1,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com,38,0,i only haf msn. it's yijue@hotmail.com
ham,He is there. You call and meet him,34,0,he is there. you call and meet him
ham,No no. I will check all rooms befor activities,46,0,no no. i will check all rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,1,you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,85,0,got c... i lazy to type... i forgot ü in lect... i saw a pouch but like not v nice...
ham,"K, text me when you're on the way",33,0,"k, text me when you're on the way"
ham,"Sir, Waiting for your mail.",27,0,"sir, waiting for your mail."
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",156,0,"a swt thought: ""nver get tired of doing little things 4 lovable persons.."" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8"
ham,I know you are. Can you pls open the back?,42,0,i know you are. can you pls open the back?
ham,Yes see ya not on the dot,25,0,yes see ya not on the dot
ham,Whats the staff name who is taking class for us?,48,0,whats the staff name who is taking class for us?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,1,"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,0,ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,K..i deleted my contact that why?,33,0,k..i deleted my contact that why?
ham,Sindu got job in birla soft ..,30,0,sindu got job in birla soft ..
ham,The wine is flowing and i'm i have nevering..,45,0,the wine is flowing and i'm i have nevering..
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,0,yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,Ok... Ur typical reply...,25,0,ok... ur typical reply...
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,0,"you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,Aaooooright are you at work?,28,0,aaooooright are you at work?
ham,I'm leaving my house now...,27,0,i'm leaving my house now...
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,0,"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?"
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,1,customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,145,1,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,0,keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life
ham,New car and house for my parents.:)i have only new job in hand:),64,0,new car and house for my parents.:)i have only new job in hand:)
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,0,i'm so in love with you. i'm excited each day i spend with you. you make me so happy.
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,1,-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,1,"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu"
ham,I place all ur points on e cultures module already.,51,0,i place all ur points on e cultures module already.
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,156,1,urgent! we are trying to contact you. last weekends draw shows that you have won a £900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,0,"hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,0,great escape. i fancy the bridge but needs her lager. see you tomo 
ham,Yes :)it completely in out of form:)clark also utter waste.,59,0,yes :)it completely in out of form:)clark also utter waste.
ham,"Sir, I need AXIS BANK account no and bank address.",50,0,"sir, i need axis bank account no and bank address."
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,0,"hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao... "
ham,What time you coming down later? ,33,0,what time you coming down later? 
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,0,"bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m... "
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,0,"well, i'm gonna finish my bath now. have a good...fine night."
ham,Let me know when you've got the money so carlos can make the call,65,0,let me know when you've got the money so carlos can make the call
ham,U still going to the mall?,26,0,u still going to the mall?
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,0,"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,Text her. If she doesnt reply let me know so i can have her log in,66,0,text her. if she doesnt reply let me know so i can have her log in
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,0,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,0,you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend
ham,Lol no. U can trust me.,23,0,lol no. u can trust me.
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,0,ok. i am a gentleman and will treat you with dignity and respect.
ham,"He will, you guys close?",24,0,"he will, you guys close?"
ham,Going on nothing great.bye,26,0,going on nothing great.bye
